storename,main_category,sub_category,item_name,item_price,item_info,item_unit,link
penny neuhausen,baby ,windeln pflege ,Penaten Pflegecreme Gesicht & Körper,€2.95,100 ml,€0.25/pc,https://wolt.com/en/deu/munich/venue/penny-neuhausen/penaten-pflegecreme-gesicht-korper-itemid-6488740b6ccfdc5108a08b01
penny neuhausen,baby ,windeln pflege ,Penaten Babyöl Intensiv ,€2.99,200 ml,€0.25/pc,https://wolt.com/en/deu/munich/venue/penny-neuhausen/penaten-babyol-intensiv-itemid-6488740b6ccfdc5108a08205
penny neuhausen,baby ,windeln pflege ,Colutti Kids Duschgel und Shampoo Cherry ,€1.39,500 ml,€0.25/pc,https://wolt.com/en/deu/munich/venue/penny-neuhausen/colutti-kids-duschgel-und-shampoo-cherry-itemid-6488740b6ccfdc5108a08583
penny neuhausen,baby ,windeln pflege ,Colutti Kids Shower & Shampoo Watermelone ,€1.39,500 ml,€0.25/pc,https://wolt.com/en/deu/munich/venue/penny-neuhausen/colutti-kids-shower-shampoo-watermelone-itemid-6488740b6ccfdc5108a0859c
penny neuhausen,baby ,windeln pflege ,Bebe Zartcreme Baby Cream,€1.99,150 ml,€0.25/pc,https://wolt.com/en/deu/munich/venue/penny-neuhausen/bebe-zartcreme-baby-cream-itemid-6488740b6ccfdc5108a0893b
penny neuhausen,baby ,windeln pflege ,Penaten Babypflege-Creme,€2.49,50 ml,€0.25/pc,https://wolt.com/en/deu/munich/venue/penny-neuhausen/penaten-babypflege-creme-itemid-6488740b6ccfdc5108a09055
penny neuhausen,baby ,windeln pflege ,Bübchen Shampoo & Duschgel Sportsfreund,€1.89,230 ml,€0.25/pc,https://wolt.com/en/deu/munich/venue/penny-neuhausen/bubchen-shampoo-duschgel-sportsfreund-itemid-6488740b6ccfdc5108a082ac
penny neuhausen,baby ,windeln pflege ,"Bübchen Shampoo, Duschgel & Spülung Meereszauber",€1.89,230 ml,€0.25/pc,https://wolt.com/en/deu/munich/venue/penny-neuhausen/bubchen-shampoo-duschgel-spulung-meereszauber-itemid-6488740b6ccfdc5108a08251
penny neuhausen,baby ,windeln pflege ,Bübchen 3in1 Shampoo & Duschgel + Spülung Meereszauber,€1.89,230 ml,€0.25/pc,https://wolt.com/en/deu/munich/venue/penny-neuhausen/bubchen-3in1-shampoo-duschgel-spulung-meereszauber-itemid-6488740b6ccfdc5108a0888d
penny neuhausen,baby ,windeln pflege ,Bübchen Kids 2in1 Shampoo & Duschgel Sportsfreund,€1.89,230 ml,€0.25/pc,https://wolt.com/en/deu/munich/venue/penny-neuhausen/bubchen-kids-2in1-shampoo-duschgel-sportsfreund-itemid-6488740b6ccfdc5108a088b0
penny neuhausen,baby ,windeln pflege ,Pampers Feuchttuecher Sensitive,€1.45,347 g,€0.25/pc,https://wolt.com/en/deu/munich/venue/penny-neuhausen/pampers-feuchttuecher-sensitive-itemid-6488740b6ccfdc5108a0905a
flink blutenburgstr,katze hund ,hunde ,Beneful Trockenfutter mit Rind,€6.59,1.4 kg,€4.71/kg,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/beneful-trockenfutter-mit-rind-itemid-65942a6eea8eb83ede4e7297
flink blutenburgstr,katze hund ,hunde ,ZooRoyal Hundesnack Kauknoten,€2.99,7 pcs,€4.71/kg,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/zooroyal-hundesnack-kauknoten-itemid-65942a6eea8eb83ede4e7368
flink blutenburgstr,katze hund ,hunde ,ZooRoyal Huhn mit Zucchini & Möhren,€2.49,400 g,€4.71/kg,https://wolt.com/en/deu/munich/venue/flink-blutenburgstr/zooroyal-huhn-mit-zucchini-mohren-itemid-65942a6eea8eb83ede4e73a0
